Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
T03_01_Launch,9,3141,2887,3377,4218,4218,2851,4218,0.000%,.25875,15.01,1.94
T01_01_LaunchURL,9,3114,3016,3161,3976,3976,2912,3976,0.000%,.33845,19.63,2.54
T02_01_Launch,9,3117,3032,3352,3980,3980,2731,3980,0.000%,.46992,27.26,3.52
T03_02_ClickonSignIn,9,156,151,168,183,183,141,183,0.000%,.28085,1.06,0.17
T01_02_ClickonSignin,9,154,153,162,173,173,141,173,0.000%,.37764,1.42,0.24
T02_02_ClickonFish,9,157,154,173,179,179,142,179,0.000%,.55096,1.98,0.34
T01_03_ClickonRegisterNow,9,268,154,159,1187,1187,146,1187,0.000%,.37749,2.14,0.25
T02_03_SelectFish,9,154,153,159,162,162,149,162,0.000%,.55107,2.06,0.35
T02_04_ClickonDogs,9,235,157,181,852,852,148,852,0.000%,.55144,2.14,0.35
T03_03_Login,9,472,462,483,589,589,426,589,0.000%,.27702,2.70,0.59
T02_05_SelectDog,9,163,151,178,230,230,144,230,0.000%,.55211,2.08,0.36
T03_04_SelectCategory,9,176,155,183,336,336,147,336,0.000%,.27923,1.05,0.17
T02_06_ClickonReptiles,9,164,153,160,257,257,148,257,0.000%,.55221,1.85,0.36
T03_05_SelectProduct,9,151,151,156,167,167,143,167,0.000%,.27919,1.07,0.18
T02_07_SelectReptile,9,161,152,172,205,205,148,205,0.000%,.55228,1.99,0.36
T03_06_AddtoCart,9,152,151,156,170,170,145,170,0.000%,.27915,1.25,0.18
T02_08_ClickonCats,9,156,153,163,177,177,148,177,0.000%,.55235,1.84,0.36
T03_07_ProcedToCheckout,9,155,156,161,162,162,143,162,0.000%,.27897,1.42,0.17
T02_09_SelectCat,9,155,156,160,163,163,149,163,0.000%,.55215,2.09,0.36
T02_10_ClickonBirds,9,155,153,154,186,186,142,186,0.000%,.55221,1.84,0.36
T02_11_SelectBird,9,166,158,191,223,223,140,223,0.000%,.55221,1.93,0.36
T01_04_SubmitData,9,474,459,492,609,609,432,609,0.000%,.30877,2.32,1.17
T03_08_PaymentDetails,9,160,157,178,179,179,143,179,0.000%,.24158,1.05,0.28
T03_09_ConfirmPayment,9,195,182,255,307,307,153,307,11.111%,.27872,1.73,0.17
T03_10_ReturntoMainMenu,9,237,230,248,279,279,220,279,0.000%,.27763,1.54,0.41
T03_11_Logout,9,591,543,577,1013,1013,506,1013,0.000%,.27486,2.81,0.73
TOTAL,234,553,159,2866,3016,3976,140,4218,0.427%,5.51991,60.26,9.59
